"","AskingRate","QuarterOff","BldgClass","ST","Quarters","ListAge","Floor","AvgSqft","Latitude","Longitude"
"1855852",20.4,"2010Q4","2_ClassB","1_Net",1,38,2,1028,42.3622645,-71.42185
"1855858",23,"2007Q4","2_ClassB","2_Between",9,105,2,7563,42.3625192,-71.2014054
"1855864",17,"2007Q4","1_ClassA","1_Net",1,10,4,25000,42.276844,-71.051452
"1855866",15.5,"2008Q3","2_ClassB","2_Between",2,10,1,2268,42.276923,-71.413854
"1855867",15.5,"2008Q3","2_ClassB","2_Between",2,10,2,9011,42.276923,-71.413854
"1855868",10.67,"2006Q3","2_ClassB","2_Between",10,6,3,900,42.276923,-71.413854
"1855881",26.67,"2009Q1","2_ClassB","3_FullService",0,19,1,585,42.3633369,-71.3628856
"1855882",57.5,"2007Q3","1_ClassA","1_Net",5,41,2,16408,42.363355,-71.090988
"1855887",45,"2011Q1","1_ClassA","2_Between",4,27,18,7048,42.3623819,-71.0813355
"1855888",39,"2006Q4","1_ClassA","2_Between",2,23,18,5131,42.3623819,-71.0813355
"1855889",23,"2007Q4","2_ClassB","2_Between",6,106,2,4091,42.3625192,-71.2014054
"1855891",17,"2007Q4","1_ClassA","1_Net",1,10,3,25000,42.276844,-71.051452
"1855900",57.5,"2007Q3","1_ClassA","1_Net",5,41,3,16408,42.363355,-71.090988
"1855905",13.5,"2006Q1","2_ClassB","2_Between",6,20,2,900,42.3485007,-71.5106153
"1855981",12,"2006Q1","3_ClassC","2_Between",15,39,5,2000,42.3612102,-71.1844389
"1855985",20,"2007Q3","3_ClassC","2_Between",2,28,1,5500,42.362066,-71.185406
"1856064",39,"2007Q2","1_ClassA","2_Between",2,23,10,23350,42.3623819,-71.0813355
"1856067",34,"2005Q2","1_ClassA","2_Between",3,21,18,1693,42.3623819,-71.0813355
"1856068",39,"2006Q4","1_ClassA","2_Between",13,20,18,2409,42.3623819,-71.0813355
"1856069",45,"2011Q1","1_ClassA","2_Between",4,27,18,1693,42.3623819,-71.0813355
"1856075",12,"2006Q2","2_ClassB","2_Between",4,105,1,500,42.3625192,-71.2014054
"1856077",13.5,"2006Q3","2_ClassB","2_Between",4,7,1,2268,42.276923,-71.413854
"1856079",22,"2008Q3","2_ClassB","1_Net",3,25,2,1287,42.2777514,-71.3757632
"1856096",14,"2007Q4","2_ClassB","2_Between",3,23,2,898,42.3485007,-71.5106153
"1856097",46,"2005Q4","1_ClassA","3_FullService",3,28,37,2279,42.3592233,-71.0562658
"1856111",35,"2005Q3","2_ClassB","1_Net",4,32,1,1450,42.359542,-71.058715
"1856113",60,"2008Q3","2_ClassB","3_FullService",4,35,1,600,42.359542,-71.058715
"1856114",32,"2010Q4","2_ClassB","1_Net",5,37,3,2096,42.359542,-71.058715
"1856118",24,"2011Q3","2_ClassB","2_Between",7,23,2,2100,42.361164,-71.056693
"1856120",30,"2005Q4","3_ClassC","3_FullService",2,37,1,2100,42.36244,-71.061246
"1856123",21,"2007Q1","3_ClassC","0_Unknown",14,87,5,4313,42.346664,-71.065525
"1856124",21,"2006Q3","3_ClassC","0_Unknown",12,87,6,5200,42.346664,-71.065525
"1856128",32,"2011Q2","2_ClassB","2_Between",1,29,3,4800,42.348237,-71.086596
"1856130",21,"2005Q3","2_ClassB","1_Net",2,2,3,5000,42.3629787,-71.1350964
"1856132",26.18,"2011Q1","2_ClassB","3_FullService",1,29,2,825,42.3632499,-71.0501992
"1856162",35,"2006Q2","1_ClassA","0_Unknown",6,20,4,7969,42.3467805,-71.0774392
"1856164",26,"2008Q1","2_ClassB","0_Unknown",3,7,1,4000,42.3626092,-71.1430637
"1856166",34.91,"2009Q2","2_ClassB","0_Unknown",1,28,2,1100,42.3632499,-71.0501992
"1856167",33.33,"2011Q4","2_ClassB","3_FullService",7,29,2,900,42.3632499,-71.0501992
"1856170",17.68,"2011Q4","2_ClassB","1_Net",3,30,1,2629,42.3632499,-71.0501992
"1856174",25,"2007Q3","2_ClassB","3_FullService",7,13,4,4550,42.363769,-71.060601
"1856183",17,"2010Q1","2_ClassB","2_Between",7,22,2,1170,42.2790579,-71.1678834
"1856186",24,"2007Q2","3_ClassC","3_FullService",3,74,3,3848,42.3484404,-71.1423769
"1856189",25,"2008Q3","2_ClassB","3_FullService",7,23,3,8140,42.3484502,-71.0968904
"1856192",20,"2011Q3","3_ClassC","1_Net",2,24,2,1384,42.349359,-71.06777
"1856242",22,"2006Q4","2_ClassB","3_FullService",13,11,6,1797,42.363769,-71.060601
"1856248",17.5,"2010Q1","2_ClassB","3_FullService",3,23,3,4995,42.2790579,-71.1678834
"1856251",19,"2010Q3","1_ClassA","2_Between",11,3,2,2337,42.2793111,-71.1694392
"1856252",25.75,"2009Q3","1_ClassA","2_Between",12,2,2,1317,42.2793111,-71.1694392
"1856259",20,"2011Q3","3_ClassC","1_Net",2,24,1,1372,42.349359,-71.06777
"1856271",45,"2007Q1","1_ClassA","0_Unknown",0,23,10,1715,42.349756,-71.079214
"1856272",46,"2007Q1","1_ClassA","0_Unknown",0,23,10,1715,42.349756,-71.079214
"1856273",43,"2007Q1","1_ClassA","0_Unknown",2,22,2,1895,42.349756,-71.079214
"1856274",55,"2007Q4","1_ClassA","0_Unknown",3,23,8,2910,42.349756,-71.079214
"1856302",27,"2010Q4","2_ClassB","2_Between",2,24,5,5000,42.361164,-71.056693
"1856303",32.5,"2006Q2","2_ClassB","2_Between",2,19,3,2500,42.361164,-71.056693
"1856306",35,"2006Q2","1_ClassA","0_Unknown",11,19,4,7627,42.3467805,-71.0774392
"1856307",35,"2006Q2","1_ClassA","0_Unknown",4,21,4,10404,42.3467805,-71.0774392
"1856357",14,"2008Q1","3_ClassC","2_Between",2,22,2,1551,42.426467,-71.077895
"1856362",15.95,"2006Q4","2_ClassB","3_FullService",9,6,1,30000,42.4299191,-71.4543618
"1856363",15.95,"2006Q3","2_ClassB","2_Between",4,7,2,7944,42.4299191,-71.4543618
"1856364",15.95,"2006Q3","2_ClassB","2_Between",4,7,3,34000,42.4299191,-71.4543618
"1856377",32,"2010Q4","2_ClassB","1_Net",15,35,2,5340,42.359542,-71.058715
"1856378",35,"2010Q4","2_ClassB","1_Net",7,37,1,1000,42.359542,-71.058715
"1856381",24,"2005Q3","2_ClassB","1_Net",11,30,3,2096,42.359542,-71.058715
"1856417",26,"2008Q1","2_ClassB","0_Unknown",2,7,2,7287,42.3626092,-71.1430637
"1856447",34,"2005Q2","1_ClassA","0_Unknown",10,18,6,14850,42.349756,-71.079214
"1856453",28,"2009Q2","2_ClassB","3_FullService",5,8,3,15023.5,42.3626092,-71.1430637
"1856455",25,"2006Q3","2_ClassB","1_Net",6,2,3,2500,42.3629787,-71.1350964
"1856456",21.33,"2011Q1","2_ClassB","2_Between",1,29,1,900,42.3632499,-71.0501992
"1856457",25,"2005Q3","2_ClassB","3_FullService",3,12,1,3000,42.363769,-71.060601
"1856463",17.5,"2010Q1","2_ClassB","3_FullService",3,23,2,2335,42.2790579,-71.1678834
"1856465",22,"2010Q3","1_ClassA","2_Between",11,3,2,3434,42.2793111,-71.1694392
"1856466",24,"2006Q3","1_ClassA","0_Unknown",1,2,2,2000,42.2793111,-71.1694392
"1856467",24,"2011Q1","1_ClassA","2_Between",6,5,2,900,42.2793111,-71.1694392
"1856471",20,"2010Q1","2_ClassB","1_Net",4,104,1,6600,42.348651,-71.048378
"1856475",26,"2006Q2","3_ClassC","2_Between",3,106,3,3559,42.349137,-71.070728
"1856482",34,"2005Q3","1_ClassA","0_Unknown",2,21,3,1685,42.349756,-71.079214
"1856483",36,"2005Q4","1_ClassA","0_Unknown",2,21,8,3100,42.349756,-71.079214
"1856484",59,"2008Q2","1_ClassA","0_Unknown",5,23,9,14970,42.349756,-71.079214
"1856486",27.6,"2006Q1","3_ClassC","1_Net",2,21,2,500,42.350122,-71.081233
"1856487",26,"2006Q3","2_ClassB","0_Unknown",7,13,3,7875,42.3502157,-71.0506876
"1856489",35.88,"2010Q1","3_ClassC","3_FullService",1,25,2,487.5,42.350122,-71.081233
"1856492",39,"2008Q3","2_ClassB","3_FullService",14,14,5,7875,42.3502157,-71.0506876
"1856498",25.75,"2008Q3","1_ClassA","2_Between",0,4,3,1520,42.2793111,-71.1694392
"1856499",22,"2010Q3","1_ClassA","2_Between",4,5,2,2150,42.2793111,-71.1694392
"1856507",15,"2010Q1","2_ClassB","3_FullService",8,7,4,2900,42.341856,-71.065099
"1856517",20,"2009Q2","3_ClassC","3_FullService",0,99,2,1017,42.3428694,-71.0841636
"1856518",14,"2006Q4","3_ClassC","2_Between",0,96,2,624,42.3428694,-71.0841636
"1856519",15,"2005Q2","3_ClassC","2_Between",6,93,2,712,42.3428694,-71.0841636
"1856520",16,"2006Q1","3_ClassC","2_Between",0,96,5,5327,42.3428694,-71.0841636
"1856527",25,"2007Q4","2_ClassB","1_Net",3,8,1,5184,42.36176,-71.064167
"1856529",26,"2008Q1","2_ClassB","0_Unknown",3,7,2,21352,42.3626092,-71.1430637
"1856538",21,"2006Q3","3_ClassC","0_Unknown",12,87,5,5600,42.346664,-71.065525
"1856539",35,"2005Q3","1_ClassA","0_Unknown",4,20,3,8162,42.3467805,-71.0774392
"1856543",15.95,"2007Q2","2_ClassB","3_FullService",6,7,4,2318,42.4299191,-71.4543618
"1856544",15.95,"2005Q2","2_ClassB","2_Between",1,7,4,3236,42.4299191,-71.4543618
"1856546",15.95,"2006Q3","3_ClassC","2_Between",3,7,2,5107,42.430477,-71.455637
"1856564",17,"2008Q3","2_ClassB","3_FullService",3,98,2,1153,42.3474003,-71.5460463
"1856569",29,"2005Q3","2_ClassB","3_FullService",1,17,2,480,42.3423084,-71.1218731
"1856651",49,"2011Q2","1_ClassA","2_Between",3,27,17,3808,42.3623819,-71.0813355
"1856656",34,"2005Q2","1_ClassA","2_Between",3,21,9,12442,42.3623819,-71.0813355
"1856661",17,"2007Q4","1_ClassA","1_Net",1,10,2,25000,42.276844,-71.051452
"1856662",17,"2007Q4","1_ClassA","1_Net",1,10,1,25000,42.276844,-71.051452
"1856669",16.95,"2005Q3","2_ClassB","2_Between",3,14,2,1676,42.3633369,-71.3628856
"1856674",57.5,"2007Q3","1_ClassA","1_Net",5,41,4,7730,42.363355,-71.090988
"1856758",23,"2005Q3","2_ClassB","1_Net",2,2,1,2200,42.3629787,-71.1350964
"1856760",25,"2011Q4","2_ClassB","3_FullService",3,30,1,1422,42.3632499,-71.0501992
"1856762",23,"2007Q1","2_ClassB","3_FullService",14,11,5,4550,42.363769,-71.060601
"1856764",24,"2011Q1","2_ClassB","3_FullService",8,17,6,1597,42.363769,-71.060601
"1856768",17.5,"2010Q3","2_ClassB","3_FullService",5,23,3,1505,42.2790579,-71.1678834
"1856769",17,"2010Q1","2_ClassB","0_Unknown",7,22,2,1145,42.2790579,-71.1678834
"1856771",14,"2006Q2","3_ClassC","2_Between",1,96,5,798,42.3428694,-71.0841636
"1856809",25.75,"2009Q2","1_ClassA","2_Between",11,2,3,3525,42.2793111,-71.1694392
"1856825",20,"2009Q3","3_ClassC","3_FullService",1,99,4,1337,42.3428694,-71.0841636
"1856826",14,"2006Q1","3_ClassC","2_Between",11,93,2,624,42.3428694,-71.0841636
"1856827",14,"2006Q4","3_ClassC","2_Between",3,96,2,388,42.3428694,-71.0841636
"1856829",20,"2008Q3","3_ClassC","3_FullService",1,98,2,1247,42.3428694,-71.0841636
"1856830",14,"2006Q2","3_ClassC","2_Between",1,96,5,434,42.3428694,-71.0841636
"1856878",20,"2009Q3","3_ClassC","3_FullService",7,97,3,672,42.3428694,-71.0841636
"1856879",15,"2006Q1","3_ClassC","2_Between",13,92,3,678,42.3428694,-71.0841636
"1856885",18,"2011Q3","3_ClassC","3_FullService",10,99,3,655,42.3428694,-71.0841636
"1856888",20,"2005Q4","2_ClassB","3_FullService",3,21,4,2500,42.351215,-71.072091
"1856899",23,"2010Q2","2_ClassB","3_FullService",5,37,5,1000,42.351577,-71.072917
"1856901",39,"2006Q2","1_ClassA","2_Between",1,1,5,18283,42.3518466,-71.0721709
"1856939",15,"2006Q2","3_ClassC","2_Between",1,96,5,535,42.3428694,-71.0841636
"1856945",35,"2007Q2","1_ClassA","0_Unknown",2,5,5,2093,42.3512275,-71.0506072
"1856961",25,"2007Q2","1_ClassA","0_Unknown",11,20,2,9410,42.351881,-71.057404
"1856962",25,"2007Q2","1_ClassA","0_Unknown",1,1,2,4826,42.351881,-71.057404
"1856963",25,"2005Q2","1_ClassA","0_Unknown",0,21,4,3600,42.351881,-71.057404
"1856966",16,"2007Q3","3_ClassC","1_Net",2,22,1,2250,42.3519717,-71.1256273
"1856975",29,"2011Q4","2_ClassB","3_FullService",6,25,3,586,42.3523076,-71.0670848
"1856976",30,"2009Q1","2_ClassB","3_FullService",0,24,4,659,42.3523076,-71.0670848
"1856977",30,"2007Q4","3_ClassC","2_Between",1,31,3,2000,42.352395,-71.06641
"1857018",31,"2007Q2","2_ClassB","0_Unknown",10,13,4,7875,42.3502157,-71.0506876
"1857023",24,"2006Q3","1_ClassA","0_Unknown",1,2,3,3750,42.2793111,-71.1694392
"1857038",20,"2010Q1","3_ClassC","3_FullService",1,99,2,675,42.3428694,-71.0841636
"1857044",14,"2006Q2","3_ClassC","2_Between",1,96,5,591,42.3428694,-71.0841636
"1857049",25,"2005Q4","2_ClassB","3_FullService",13,18,3,12000,42.350828,-71.050886
"1857050",20,"2005Q4","2_ClassB","3_FullService",1,21,3,2500,42.351215,-71.072091
"1857061",41,"2006Q4","2_ClassB","3_FullService",1,96,1,2200,42.3517093,-71.0759836
"1857062",25,"2011Q1","2_ClassB","1_Net",3,100,3,1227,42.3517093,-71.0759836
"1857077",25,"2006Q1","2_ClassB","1_Net",8,11,1,3350,42.344787,-71.095908
"1857078",39,"2006Q2","1_ClassA","2_Between",13,20,8,17763,42.3518466,-71.0721709
"1857079",25,"2007Q4","1_ClassA","0_Unknown",11,21,5,8618,42.351881,-71.057404
"1857080",25,"2007Q2","1_ClassA","0_Unknown",7,21,8,3630,42.351881,-71.057404
"1857087",28,"2010Q4","2_ClassB","3_FullService",7,24,2,1425,42.3523076,-71.0670848
"1857090",25,"2008Q3","2_ClassB","3_FullService",6,24,2,8140,42.3484502,-71.0968904
"1857091",25,"2005Q3","2_ClassB","2_Between",6,21,2,8140,42.3484502,-71.0968904
"1857099",26,"2006Q3","3_ClassC","2_Between",4,106,3,3558,42.349137,-71.070728
"1857106",30,"2007Q3","2_ClassB","2_Between",9,5,5,3091,42.349731,-71.0708036
"1857108",38,"2006Q3","1_ClassA","0_Unknown",4,21,10,3775,42.349756,-71.079214
"1857109",38,"2005Q2","1_ClassA","0_Unknown",5,20,11,7680,42.349756,-71.079214
"1857184",31,"2007Q2","2_ClassB","0_Unknown",9,14,1,4022,42.3502157,-71.0506876
"1857200",15,"2006Q3","3_ClassC","2_Between",11,93,4,655,42.3428694,-71.0841636
"1857214",20,"2011Q1","3_ClassC","3_FullService",7,99,3,675,42.3428694,-71.0841636
"1857256",43,"2005Q2","2_ClassB","1_Net",9,4,1,559,42.3510104,-71.0681895
"1857263",23,"2010Q1","2_ClassB","3_FullService",1,37,5,1600,42.351577,-71.072917
"1857264",41,"2006Q4","2_ClassB","3_FullService",1,96,1,2200,42.3517093,-71.0759836
"1857265",32,"2010Q1","3_ClassC","3_FullService",1,39,4,2535,42.353547,-71.08058
"1857267",27,"2005Q4","1_ClassA","0_Unknown",1,17,8,3067,42.353657,-71.0568548
"1857270",15.5,"2009Q4","3_ClassC","3_FullService",3,25,2,2250,42.363392,-71.1910722
"1857278",10,"2006Q2","3_ClassC","2_Between",3,25,2,1044,42.348795,-71.507403
"1857282",18.75,"2011Q4","2_ClassB","3_FullService",11,25,2,5000,42.363526,-71.3884788
"1857283",18.75,"2011Q4","2_ClassB","3_FullService",11,25,2,3000,42.363526,-71.3884788
"1857288",15,"2005Q4","2_ClassB","2_Between",8,8,1,4250,42.3651397,-71.165886
"1857292",25,"2008Q3","2_ClassB","2_Between",3,103,1,3200,42.366116,-71.10436
"1857312",25,"2011Q1","2_ClassB","1_Net",3,100,4,2320,42.3517093,-71.0759836
"1857313",35,"2005Q2","1_ClassA","2_Between",3,21,3,2194,42.3518466,-71.0721709
"1857314",39,"2006Q4","1_ClassA","2_Between",3,1,6,8190,42.3518466,-71.0721709
"1857333",18.75,"2011Q4","2_ClassB","3_FullService",11,25,1,6500,42.363526,-71.3884788
"1857334",30,"2011Q4","1_ClassA","3_FullService",7,7,1,1422,42.3638373,-71.0815324
"1857336",37,"2006Q3","1_ClassA","2_Between",3,0,2,6370,42.3518466,-71.0721709
"1857337",42,"2007Q1","1_ClassA","0_Unknown",2,1,3,3236,42.3518466,-71.0721709
"1857345",17.5,"2010Q3","2_ClassB","3_FullService",2,9,5,7300,42.341856,-71.065099
"1857354",19,"2005Q3","2_ClassB","3_FullService",2,12,2,6612,42.344787,-71.095908
"1857355",25,"2008Q3","2_ClassB","1_Net",9,13,2,3350,42.344787,-71.095908
"1857356",25,"2006Q1","2_ClassB","1_Net",4,12,1,3347,42.344787,-71.095908
"1857358",32,"2009Q2","1_ClassA","3_FullService",8,1,8,3630,42.351881,-71.057404
"1857360",18.75,"2011Q4","2_ClassB","3_FullService",11,25,1,3376,42.363526,-71.3884788
"1857363",16,"2006Q3","3_ClassC","2_Between",5,20,2,1650,42.3635297,-71.0989706
"1857376",10.06,"2007Q3","3_ClassC","2_Between",2,27,2,1044,42.348795,-71.507403
"1857377",30,"2011Q4","1_ClassA","3_FullService",5,7,1,1400,42.3638373,-71.0815324
"1857389",23.5,"2005Q2","1_ClassA","3_FullService",9,19,4,26165,42.36668,-71.091
"1857399",25,"2008Q3","3_ClassC","1_Net",3,37,1,6045,42.366871,-71.183718
"1857400",25,"2007Q4","3_ClassC","1_Net",3,37,1,4000,42.366871,-71.183718
"1857403",16,"2007Q4","3_ClassC","1_Net",5,36,2,450,42.366871,-71.183718
"1857404",25,"2010Q4","3_ClassC","1_Net",9,38,1,3000,42.366871,-71.183718
"1857410",35,"2011Q3","2_ClassB","2_Between",1,24,8,1300,42.3679012,-71.1074851
"1857412",22,"2008Q2","2_ClassB","0_Unknown",3,16,5,4015,42.3510102,-71.2064448
"1857414",17,"2005Q4","2_ClassB","0_Unknown",1,14,2,2800,42.3510102,-71.2064448
"1857416",23.5,"2008Q2","2_ClassB","0_Unknown",3,16,4,1635,42.3510102,-71.2064448
"1857421",29,"2006Q3","2_ClassB","3_FullService",3,17,2,559,42.3423084,-71.1218731
"1857422",29,"2006Q3","2_ClassB","3_FullService",4,17,2,480,42.3423084,-71.1218731
"1857423",29,"2005Q3","2_ClassB","3_FullService",1,17,2,820,42.3423084,-71.1218731
"1857425",29,"2005Q3","2_ClassB","3_FullService",11,14,3,687,42.3423084,-71.1218731
"1857438",23,"2005Q4","2_ClassB","2_Between",2,19,3,2466,42.3521626,-71.207267
"1857440",24,"2011Q4","2_ClassB","3_FullService",13,25,1,1400,42.352299,-71.207843
"1857470",24,"2007Q2","2_ClassB","0_Unknown",1,16,5,9681,42.3510102,-71.2064448
"1857471",17,"2005Q4","2_ClassB","0_Unknown",3,14,4,1600,42.3510102,-71.2064448
"1857472",17,"2005Q3","2_ClassB","0_Unknown",2,14,2,5600,42.3510102,-71.2064448
"1857473",13,"2009Q4","2_ClassB","2_Between",6,17,4,1635,42.3510102,-71.2064448
"1857479",16,"2007Q2","3_ClassC","1_Net",3,36,2,421,42.366871,-71.183718
"1857481",24,"2010Q4","3_ClassC","2_Between",0,84,1,5656,42.3670273,-71.1084569
"1857485",17,"2011Q1","2_ClassB","0_Unknown",2,90,2,4700,42.3677628,-71.1520018
"1857487",24,"2008Q2","2_ClassB","1_Net",1,21,1,621,42.3679012,-71.1074851
"1857488",24,"2008Q4","2_ClassB","1_Net",1,21,1,824,42.3679012,-71.1074851
"1857489",30,"2006Q4","2_ClassB","2_Between",4,18,8,1300,42.3679012,-71.1074851
"1857491",24,"2006Q4","2_ClassB","3_FullService",3,15,1,921,42.3510102,-71.2064448
"1857492",23.5,"2008Q2","2_ClassB","0_Unknown",0,17,1,3959,42.3510102,-71.2064448
"1857494",23.5,"2007Q3","2_ClassB","0_Unknown",0,16,2,1662,42.3510102,-71.2064448
"1857496",20,"2005Q3","2_ClassB","0_Unknown",2,14,3,3800,42.3510102,-71.2064448
"1857499",29,"2006Q3","2_ClassB","3_FullService",5,17,2,481,42.3423084,-71.1218731
"1857503",30.5,"2011Q2","2_ClassB","2_Between",3,22,3,1125,42.3423084,-71.1218731
"1857507",20,"2009Q3","2_ClassB","2_Between",5,12,3,2620,42.368487,-71.108471
"1857514",29,"2005Q3","2_ClassB","3_FullService",1,17,2,3497,42.3423084,-71.1218731
"1857515",29,"2005Q4","2_ClassB","3_FullService",2,17,2,559,42.3423084,-71.1218731
"1857516",29,"2006Q3","2_ClassB","3_FullService",5,17,2,735,42.3423084,-71.1218731
"1857519",29,"2006Q3","2_ClassB","3_FullService",5,17,2,563,42.3423084,-71.1218731
"1857520",29,"2005Q3","2_ClassB","3_FullService",4,16,3,1736,42.3423084,-71.1218731
"1857521",29,"2005Q3","2_ClassB","3_FullService",4,16,3,1618,42.3423084,-71.1218731
"1857522",29,"2005Q3","2_ClassB","3_FullService",1,17,3,1105,42.3423084,-71.1218731
"1857540",25.5,"2005Q2","1_ClassA","2_Between",2,20,2,3572,42.3547626,-71.2624076
"1857543",39,"2006Q2","1_ClassA","2_Between",9,21,7,7218,42.3518466,-71.0721709
"1857544",24,"2005Q2","1_ClassA","0_Unknown",1,21,1,1119,42.351881,-71.057404
"1857545",16,"2010Q2","3_ClassC","3_FullService",1,25,1,2250,42.3519717,-71.1256273
"1857548",27.5,"2006Q1","1_ClassA","2_Between",3,21,3,5673,42.3547626,-71.2624076
"1857549",25,"2005Q3","1_ClassA","2_Between",9,19,2,1715,42.3547626,-71.2624076
"1857552",40,"2006Q3","2_ClassB","3_FullService",2,19,11,1900,42.35332,-71.074229
"1857554",40,"2006Q3","2_ClassB","3_FullService",2,19,5,1281,42.35332,-71.074229
"1857558",27,"2005Q4","1_ClassA","0_Unknown",1,17,11,1361,42.353657,-71.0568548
"1857559",27,"2006Q1","1_ClassA","0_Unknown",2,17,9,2128,42.353657,-71.0568548
"1857560",21,"2005Q3","1_ClassA","3_FullService",6,24,6,3660,42.3538176,-71.053118
"1857561",30,"2007Q3","2_ClassB","3_FullService",11,16,3,2200,42.3539815,-71.0579835
"1857566",28.5,"2007Q1","2_ClassB","2_Between",14,33,3,4807.5,42.354719,-71.0591106
"1857567",25,"2009Q2","2_ClassB","1_Net",6,14,1,3000,42.344787,-71.095908
"1857568",18,"2007Q1","2_ClassB","3_FullService",3,81,2,3334,42.345319,-71.100052
"1857571",39,"2009Q2","2_ClassB","2_Between",10,24,6,11304,42.3458586,-71.0643422
"1857572",29,"2006Q3","2_ClassB","3_FullService",5,106,1,1100,42.346449,-71.074108
"1857573",20,"2006Q3","2_ClassB","2_Between",12,23,5,10000,42.3470967,-71.1414663
"1857574",35,"2008Q1","2_ClassB","0_Unknown",1,10,1,715,42.364021,-71.059744
"1857576",23,"2010Q3","2_ClassB","3_FullService",4,12,2,2040,42.364021,-71.059744
"1857583",12,"2010Q4","3_ClassC","3_FullService",1,60,2,1700,42.369855,-71.192724
"1857585",26,"2005Q3","1_ClassA","2_Between",2,17,7,1059,42.353657,-71.0568548
"1857587",17,"2006Q1","2_ClassB","2_Between",0,18,4,2200,42.354023,-71.058108
"1857588",17,"2009Q4","2_ClassB","2_Between",2,21,4,2200,42.354023,-71.058108
"1857594",25,"2007Q4","2_ClassB","1_Net",9,12,1,4259,42.344787,-71.095908
"1857603",39,"2009Q2","2_ClassB","2_Between",7,25,10,22608,42.3458586,-71.0643422
"1857604",39,"2009Q2","2_ClassB","2_Between",10,24,6,11304,42.3458586,-71.0643422
"1857605",39,"2009Q2","2_ClassB","2_Between",10,24,8,10820,42.3458586,-71.0643422
"1857607",23,"2010Q1","2_ClassB","3_FullService",0,13,3,966,42.364021,-71.059744
"1857609",23,"2007Q3","2_ClassB","3_FullService",5,9,2,1400,42.364021,-71.059744
"1857610",23.5,"2006Q3","2_ClassB","3_FullService",2,8,2,7500,42.36416,-71.061235
"1857611",25,"2008Q3","2_ClassB","2_Between",2,23,2,3400,42.364542,-71.061701
"1857614",20,"2005Q2","2_ClassB","2_Between",9,23,3,600,42.3470967,-71.1414663
"1857615",19,"2010Q3","2_ClassB","3_FullService",0,30,4,7500,42.3470967,-71.1414663
"1857616",21,"2007Q2","2_ClassB","2_Between",2,26,4,2500,42.3470967,-71.1414663
"1857617",35,"2006Q2","1_ClassA","0_Unknown",11,19,6,10480,42.3471282,-71.0779042
"1857652",16,"2007Q3","3_ClassC","1_Net",2,22,1,2250,42.3519717,-71.1256273
"1857656",45,"2007Q2","2_ClassB","2_Between",3,19,8,3450,42.35332,-71.074229
"1857658",27.5,"2006Q1","1_ClassA","0_Unknown",0,18,6,3367,42.353657,-71.0568548
"1857659",27.5,"2006Q2","1_ClassA","0_Unknown",1,18,8,2510,42.353657,-71.0568548
"1857660",27,"2005Q4","1_ClassA","0_Unknown",1,17,8,2510,42.353657,-71.0568548
"1857661",27,"2005Q4","1_ClassA","0_Unknown",1,17,9,4085,42.353657,-71.0568548
"1857662",19,"2007Q1","2_ClassB","2_Between",0,19,4,2200,42.354023,-71.058108
"1857672",25,"2008Q3","2_ClassB","1_Net",7,13,1,2400,42.344787,-71.095908
"1857678",39,"2009Q2","2_ClassB","2_Between",10,24,1,8203,42.3458586,-71.0643422
"1857679",39,"2009Q2","2_ClassB","2_Between",10,24,9,21640,42.3458586,-71.0643422
"1857680",39,"2009Q2","2_ClassB","2_Between",10,24,7,22608,42.3458586,-71.0643422
"1857681",39,"2009Q2","2_ClassB","2_Between",10,24,8,11304,42.3458586,-71.0643422
"1857690",35,"2005Q2","1_ClassA","0_Unknown",0,21,5,50647,42.3471282,-71.0779042
"1857691",35,"2005Q2","1_ClassA","0_Unknown",0,21,4,50647,42.3471282,-71.0779042
"1857837",25.5,"2005Q2","1_ClassA","3_FullService",1,21,1,1028,42.3547626,-71.2624076
"1857838",29.5,"2006Q3","1_ClassA","2_Between",2,22,1,5699,42.3547626,-71.2624076
"1857840",32,"2006Q4","1_ClassA","2_Between",2,22,4,3237,42.3547626,-71.2624076
"1857848",15,"2011Q2","3_ClassC","2_Between",1,89,1,4900,42.2801385,-71.0342344
"1857853",28.75,"2007Q3","1_ClassA","0_Unknown",7,8,1,3054,42.277083,-71.032377
"1857899",23,"2011Q2","2_ClassB","3_FullService",2,13,4,1640,42.364021,-71.059744
"1857907",27.5,"2005Q4","1_ClassA","2_Between",1,21,2,1715,42.3547626,-71.2624076
"1857908",27.5,"2006Q1","1_ClassA","2_Between",1,21,4,2096,42.3547626,-71.2624076
"1857909",33.5,"2007Q1","1_ClassA","2_Between",4,22,4,2096,42.3547626,-71.2624076
"1857910",25.5,"2005Q2","1_ClassA","3_FullService",2,20,1,2749,42.3547626,-71.2624076
"1857917",32.72,"2010Q4","2_ClassB","1_Net",2,8,1,1100,42.2800516,-71.2376898
"1857918",34,"2010Q4","2_ClassB","1_Net",2,8,1,1000,42.2800516,-71.2376898
"1857924",28.75,"2007Q3","1_ClassA","0_Unknown",7,8,2,24420,42.277083,-71.032377
"1857925",28.75,"2007Q3","1_ClassA","0_Unknown",3,9,1,6539,42.277083,-71.032377
"1857926",14.5,"2007Q1","3_ClassC","2_Between",7,60,2,900,42.277814,-71.376189
"1857929",12,"2006Q2","3_ClassC","2_Between",2,105,4,3750,42.277907,-71.419146
"1857948",26.5,"2006Q3","1_ClassA","1_Net",0,22,3,4304,42.36668,-71.091
