Quarters,AskingRate,,,,Boston Office Leased Lists from Y2005-Y2010
9,16,,,,
5,20.25,,,,
1,15,,,,
1,15,,,,
3,18.25,,,,
1,13.88,,,,
1,11,,,,
4,15,,,,
3,23.5,,,,
7,27.5,,,,
7,27.5,,,,
2,13.64,,,,
1,15,,,,
2,18,,,,
6,15,,,,
4,16,,,,
6,12,,,,
6,12,,,,
1,17,,,,
2,17,,,,
2,17,,,,
5,12,,,,
4,14,,,,
3,19,,,,
2,21,,,,
4,12,,,,
4,12,,,,
6,8.57,,,,
3,27,,,,
13,12,,,,
4,24,,,,
4,15,,,,
6,13.5,,,,
6,13.5,,,,
2,13.5,,,,
10,13.5,,,,
1,17,,,,
12,13,,,,
11,14,,,,
3,16,,,,
1,13.71,,,,
3,14,,,,
3,12,,,,
5,12,,,,
3,15.25,,,,
5,15.76,,,,
3,19.5,,,,
3,19,,,,
3,19.5,,,,
1,18.5,,,,
1,18.5,,,,
1,18.5,,,,
0,18.5,,,,
3,14,,,,
6,10,,,,
9,10,,,,
1,15,,,,
2,17,,,,
3,15,,,,
4,6.95,,,,
5,13,,,,
2,12,,,,
1,12,,,,
2,21.5,,,,
3,21.5,,,,
4,21.5,,,,
5,17,,,,
3,17,,,,
5,16,,,,
5,17,,,,
1,8.72,,,,
16,12,,,,
1,12,,,,
16,12,,,,
7,18.5,,,,
10,19.64,,,,
2,30,,,,
2,40,,,,
1,28,,,,
1,30,,,,
5,34,,,,
1,33,,,,
2,32,,,,
1,35,,,,
3,18.5,,,,
1,21.5,,,,
10,17,,,,
1,12,,,,
3,6.46,,,,
1,14.6,,,,
6,6.46,,,,
11,19,,,,
10,18.5,,,,
6,19,,,,
2,14.5,,,,
3,17.5,,,,
2,17.5,,,,
2,12.48,,,,
3,17.5,,,,
15,19.75,,,,
12,19.75,,,,
8,18,,,,
8,18,,,,
8,16,,,,
5,15,,,,
0,15,,,,
1,14,,,,
5,15,,,,
4,21.5,,,,
4,17,,,,
10,17,,,,
4,18,,,,
1,21,,,,
4,17.48,,,,
7,22,,,,
5,22.31,,,,
1,20,,,,
6,19,,,,
8,17,,,,
7,19,,,,
10,19,,,,
7,19,,,,
1,16.5,,,,
4,16.5,,,,
8,19,,,,
1,17,,,,
11,19,,,,
8,20,,,,
6,20,,,,
6,21,,,,
3,22,,,,
1,18,,,,
1,20,,,,
1,20,,,,
1,18,,,,
13,22.5,,,,
9,22,,,,
6,22.5,,,,
7,22.5,,,,
2,24,,,,
4,24,,,,
8,29.5,,,,
9,29.5,,,,
3,29.5,,,,
0,30,,,,
3,35,,,,
2,23,,,,
8,26.88,,,,
2,20,,,,
3,24.76,,,,
0,15,,,,
0,15,,,,
1,17.5,,,,
11,13.5,,,,
11,13.5,,,,
3,40,,,,
10,35,,,,
1,15,,,,
5,17,,,,
5,15,,,,
3,16,,,,
2,17,,,,
3,21,,,,
3,25,,,,
4,35,,,,
1,36,,,,
3,34,,,,
3,38,,,,
1,32,,,,
1,36,,,,
1,32,,,,
5,17,,,,
6,18,,,,
9,18,,,,
3,16,,,,
3,16,,,,
0,17,,,,
1,12,,,,
13,16,,,,
2,16,,,,
5,19,,,,
5,19,,,,
6,19,,,,
12,19,,,,
7,19,,,,
1,16.2,,,,
1,20.8,,,,
5,15,,,,
1,17,,,,
5,15,,,,
0,17,,,,
5,15,,,,
3,17,,,,
10,16.5,,,,
2,20,,,,
10,18,,,,
11,8,,,,
11,8,,,,
1,20,,,,
12,18,,,,
6,16,,,,
6,16,,,,
3,22.5,,,,
0,20,,,,
5,17.5,,,,
7,19.17,,,,
6,11,,,,
7,18.5,,,,
0,17,,,,
2,15,,,,
3,18,,,,
0,17,,,,
3,18,,,,
2,15,,,,
1,16,,,,
7,18.5,,,,
6,18.5,,,,
5,17,,,,
5,18.5,,,,
2,7,,,,
7,7.5,,,,
1,8.5,,,,
2,8.5,,,,
2,8.5,,,,
2,8.5,,,,
3,18.5,,,,
14,18,,,,
8,19,,,,
3,18,,,,
1,20,,,,
3,20,,,,
8,15,,,,
1,16,,,,
6,16,,,,
4,15,,,,
2,15,,,,
0,15,,,,
7,18,,,,
3,19,,,,
14,18,,,,
0,27.5,,,,
2,27.5,,,,
7,25,,,,
2,18,,,,
2,27.5,,,,
2,16,,,,
9,16.5,,,,
8,14.5,,,,
8,14.5,,,,
4,13.4,,,,
2,17.5,,,,
4,17.47,,,,
4,17.62,,,,
6,12,,,,
2,21,,,,
1,18,,,,
10,21.5,,,,
2,21.5,,,,
0,18,,,,
3,17.5,,,,
1,10,,,,
2,15.75,,,,
3,27.5,,,,
2,16.5,,,,
3,10.65,,,,
3,16.5,,,,
3,15,,,,
3,14.19,,,,
1,10.28,,,,
1,8,,,,
7,12.5,,,,
16,25,,,,
7,15,,,,
2,15,,,,
2,25,,,,
11,18,,,,
4,13,,,,
4,13,,,,
4,12.425,,,,
15,16,,,,
15,16,,,,
11,16,,,,
1,11,,,,
2,12,,,,
2,30,,,,
5,18,,,,
3,26,,,,
1,18,,,,
3,22.5,,,,
0,20,,,,
3,24,,,,
8,21,,,,
2,22.5,,,,
1,22.5,,,,
2,18.25,,,,
11,16.95,,,,
0,20,,,,
10,16.95,,,,
13,19,,,,
7,19.25,,,,
3,9.25,,,,
14,25,,,,
5,13.5,,,,
2,13.5,,,,
2,18,,,,
2,16.62,,,,
1,21.6,,,,
2,35.95,,,,
1,36.95,,,,
2,25.95,,,,
2,22.95,,,,
1,21.95,,,,
0,18.95,,,,
1,11.4,,,,
2,19.75,,,,
2,15,,,,
3,15,,,,
3,15,,,,
1,20.75,,,,
1,12,,,,
7,22,,,,
8,23,,,,
0,22,,,,
3,15.5,,,,
10,15.5,,,,
3,14,,,,
1,18.57,,,,
7,18.5,,,,
2,22,,,,
9,17,,,,
6,23,,,,
4,12,,,,
3,14.5,,,,
2,15.75,,,,
1,16,,,,
2,14.95,,,,
16,14.95,,,,
1,18.5,,,,
3,19.5,,,,
4,23,,,,
8,23,,,,
7,23,,,,
6,19.5,,,,
4,23,,,,
1,18.5,,,,
4,18.5,,,,
3,21,,,,
3,23,,,,
3,18.5,,,,
6,18.5,,,,
7,18,,,,
4,19,,,,
1,18,,,,
7,18,,,,
4,19,,,,
7,18,,,,
0,18,,,,
2,18.95,,,,
1,15,,,,
2,15,,,,
2,15,,,,
5,14.95,,,,
3,15.95,,,,
8,15.95,,,,
14,15.5,,,,
14,15.95,,,,
3,10,,,,
9,16.8,,,,
4,20,,,,
1,25,,,,
2,17.52,,,,
12,20,,,,
7,28,,,,
7,28,,,,
1,31.06,,,,
8,28,,,,
2,31.06,,,,
8,28,,,,
2,27,,,,
2,27,,,,
6,32.5,,,,
1,27,,,,
2,12,,,,
5,9.75,,,,
4,9.75,,,,
4,9.75,,,,
6,9.75,,,,
4,38,,,,
3,28.5,,,,
1,30,,,,
1,32,,,,
2,34,,,,
2,32,,,,
1,30,,,,
2,29,,,,
0,29,,,,
2,17.5,,,,
2,18,,,,
1,12.5,,,,
2,13.5,,,,
5,14,,,,
2,16.8,,,,
5,14,,,,
5,14,,,,
5,12,,,,
7,11.5,,,,
7,11.5,,,,
16,10,,,,
2,14.5,,,,
3,14.5,,,,
2,14,,,,
0,18,,,,
4,18,,,,
3,18,,,,
3,19,,,,
1,19,,,,
1,19,,,,
1,16.5,,,,
10,17,,,,
2,17.5,,,,
3,17,,,,
5,16.5,,,,
3,17.5,,,,
1,17.5,,,,
8,17.5,,,,
5,16.5,,,,
0,18,,,,
1,28,,,,
1,26,,,,
2,14,,,,
2,19,,,,
4,20.5,,,,
2,21.6,,,,
5,22,,,,
1,21,,,,
3,9,,,,
5,9,,,,
0,22,,,,
0,22,,,,
2,30,,,,
6,31,,,,
3,32.5,,,,
6,29.5,,,,
1,29.5,,,,
1,27.5,,,,
3,31,,,,
4,17,,,,
1,32,,,,
3,35,,,,
2,32,,,,
1,30,,,,
8,45,,,,
0,32,,,,
0,32,,,,
1,19.5,,,,
5,27,,,,
4,29,,,,
3,18,,,,
4,18,,,,
3,18,,,,
1,18,,,,
5,12,,,,
3,20,,,,
6,23,,,,
2,21.5,,,,
0,14.5,,,,
6,14.5,,,,
6,30.93,,,,
6,30.93,,,,
0,16.16,,,,
0,25,,,,
3,22,,,,
3,22,,,,
0,25,,,,
2,24,,,,
2,28,,,,
1,23.08,,,,
6,21.51,,,,
3,17.78,,,,
2,15,,,,
2,25,,,,
6,22,,,,
1,24,,,,
10,24,,,,
7,24,,,,
6,24,,,,
1,22,,,,
0,12,,,,
2,18,,,,
7,20,,,,
3,19.5,,,,
4,19.5,,,,
6,20,,,,
1,18,,,,
3,18,,,,
2,20,,,,
7,18,,,,
0,18,,,,
0,22,,,,
5,18,,,,
6,18,,,,
1,18,,,,
6,40,,,,
1,29.5,,,,
5,30,,,,
13,30,,,,
5,29.5,,,,
2,29.5,,,,
3,37.5,,,,
2,29.5,,,,
6,29.5,,,,
3,30,,,,
4,29.5,,,,
1,24,,,,
0,24.61,,,,
3,25,,,,
3,29,,,,
5,30,,,,
1,25,,,,
6,29,,,,
0,25,,,,
2,30,,,,
3,38,,,,
0,24,,,,
2,26,,,,
3,22,,,,
2,22,,,,
0,24,,,,
6,28,,,,
3,28,,,,
3,15.92,,,,
11,18.86,,,,
5,17.69,,,,
7,18,,,,
1,18,,,,
1,19.09,,,,
2,19.44,,,,
1,25.04,,,,
1,25,,,,
0,19.09,,,,
2,34,,,,
1,34,,,,
0,34,,,,
2,34,,,,
6,34,,,,
8,33,,,,
7,33,,,,
4,33,,,,
4,33,,,,
3,33,,,,
1,33,,,,
9,33,,,,
7,32,,,,
3,32.5,,,,
7,32,,,,
3,35,,,,
0,38.5,,,,
8,23.5,,,,
4,13.33,,,,
3,13.5,,,,
5,8.5,,,,
14,13,,,,
4,13,,,,
4,16,,,,
2,16,,,,
2,17.74,,,,
1,16,,,,
4,20,,,,
6,20,,,,
0,16,,,,
2,23,,,,
1,25,,,,
4,23,,,,
5,13,,,,
7,13,,,,
3,30,,,,
3,15,,,,
2,24.5,,,,
2,23,,,,
0,23,,,,
2,23,,,,
2,23,,,,
12,23,,,,
3,6.5,,,,
1,32,,,,
1,32,,,,
8,32,,,,
3,32,,,,
3,32,,,,
2,29.61,,,,
2,28,,,,
2,29.65,,,,
1,29.61,,,,
1,17,,,,
1,24.14,,,,
3,27,,,,
6,33,,,,
3,25,,,,
3,25,,,,
4,25,,,,
6,20,,,,
2,17.5,,,,
6,33,,,,
8,33,,,,
9,33,,,,
6,33,,,,
2,16,,,,
4,16,,,,
4,23,,,,
4,34.15,,,,
1,62.5,,,,
1,25,,,,
3,15.65,,,,
10,18,,,,
10,18,,,,
7,20,,,,
0,14,,,,
7,20,,,,
3,14,,,,
0,20,,,,
3,16.5,,,,
7,13,,,,
2,8.87,,,,
5,9.62,,,,
4,8.87,,,,
1,10.65,,,,
7,12,,,,
3,12,,,,
1,16.5,,,,
4,9,,,,
1,9,,,,
1,20,,,,
1,20,,,,
8,18,,,,
1,14,,,,
1,20,,,,
1,15,,,,
0,16,,,,
1,14,,,,
1,14,,,,
4,9,,,,
7,9.62,,,,
5,25,,,,
